name, dam, sire, sex, year
Abydos Ima Keifer,Abydos Here Comes Bertrand,Larchmont's Bogus ROMs, Female, 2004 
Abydos Just Funnin',Abydos Want My Carnival Now PT,Abydos Twofoursixoone Hugo CD, Male, 2003 
Abydos Lela,Abydos Want My Carnival Now PT,Camelot Spirit Of Westwind, Female, 2005 
Abydos Love Changes Evrythng,Abydos HG Angel Girl RBD HT,Heart Of Gold Good Wilbarger RN HSAs NA NAJ OAP AJP, Male, 2000 
Abydos Martin Guerre,Abydos HG Angel Girl RBD HT,Heart Of Gold Good Wilbarger RN HSAs NA NAJ OAP AJP, Male, 2000 
Abydos Midnite Rosie,Abydos Want My Carnival Now PT,Camelot Spirit Of Westwind, Female, 2005 
Abydos On A Whim,Abydos Want My Carnival Now PT,Abydos Twofoursixoone Hugo CD, Female, 2003 
Abydos Picards Digital Image,Abydos HG Angel Girl RBD HT,Heartof Gold Makeitso Abydos CD PT HIC HCT JHD CGC TDI, Male, 1999 
Abydos Red Hot Cutie,Abydos HG Angel Girl RBD HT,Heart of Gold Tell Me No Lies CD RE PT MX AXJ AXP AJP OF NFP, Female, 2004 
Abydos Singular Sensation,Redbuds Flamekist CD PT,Heartof Gold Makeitso Abydos CD PT HIC HCT JHD CGC TDI, Female, 1998 
Abydos Snuck Byewe,Abydos Want My Carnival Now PT,Abydos Twofoursixoone Hugo CD, Male, 2003 
Abydos Spicy Hot Punkin,Abydos HG Angel Girl RBD HT,Heart of Gold Tell Me No Lies CD RE PT MX AXJ AXP AJP OF NFP, Female, 2004 
Abydos Sunset Cecil B,Abydos Delightful Delia,Heart Of Gold Saint Nicholas HT PT RN HCT JHD CGC, Male, 2003 
Abydos Sunset Joe,Abydos Delightful Delia,Heart Of Gold Saint Nicholas HT PT RN HCT JHD CGC, Male, 2003 
Abydos Sunset Max The Butler,Abydos Delightful Delia,Heart Of Gold Saint Nicholas HT PT RN HCT JHD CGC, Male, 2003 
Abydos Sunset Norma D,Abydos Delightful Delia,Heart Of Gold Saint Nicholas HT PT RN HCT JHD CGC, Female, 2003 
Abydos Sweet Licorice,Abydos Want My Carnival Now PT,Camelot Spirit Of Westwind, Male, 2005 
